annee;code_commune;nom_commune;nb_etablissements;effectifs_salaries
2012;69001;Affoux;4.0;6.0
2012;69002;Aigueperse;3.0;5.0
2012;69003;Albigny-sur-Saône;46.0;236.0
2012;69004;Alix;10.0;35.0
2012;69005;Ambérieux;37.0;699.0
2012;69006;Amplepuis;141.0;1327.0
2012;69007;Ampuis;68.0;472.0
2012;69008;Ancy;8.0;10.0
2012;69009;Anse;176.0;1362.0
2012;69010;L'Arbresle;256.0;1929.0
2012;69012;Les Ardillats;7.0;20.0
2012;69013;Arnas;214.0;3073.0
2012;69014;Aveize;16.0;490.0
2012;69016;Azolette;1.0;0.0
2012;69017;Bagnols;19.0;42.0
2012;69018;Beaujeu;69.0;411.0
2012;69019;Belleville-en-Beaujolais;441.0;4270.0
2012;69020;Belmont-d'Azergues;5.0;10.0
2012;69021;Bessenay;47.0;258.0
2012;69022;Bibost;3.0;8.0
2012;69023;Blacé;29.0;71.0
2012;69024;Val d'Oingt;103.0;477.0
2012;69026;Le Breuil;9.0;30.0
2012;69027;Brignais;633.0;7511.0
2012;69028;Brindas;156.0;897.0
2012;69029;Bron;1016.0;12253.0
2012;69030;Brullioles;18.0;66.0
2012;69031;Brussieu;21.0;92.0
2012;69032;Bully;57.0;318.0
2012;69033;Cailloux-sur-Fontaines;93.0;828.0
2012;69034;Caluire-et-Cuire;1030.0;10410.0
2012;69035;Cenves;7.0;16.0
2012;69036;Cercié;30.0;116.0
2012;69037;Chambost-Allières;13.0;213.0
2012;69038;Chambost-Longessaigne;12.0;25.0
2012;69039;Chamelet;6.0;18.0
2012;69040;Champagne-au-Mont-d'Or;373.0;3581.0
2012;69042;La Chapelle-sur-Coise;4.0;5.0
2012;69043;Chaponost;279.0;3669.0
2012;69044;Charbonnières-les-Bains;160.0;1221.0
2012;69045;Charentay;11.0;61.0
2012;69046;Charly;87.0;436.0
2012;69047;Charnay;22.0;87.0
2012;69049;Chasselay;63.0;300.0
2012;69050;Châtillon;53.0;291.0
2012;69051;Chaussan;8.0;29.0
2012;69052;Chazay-d'Azergues;79.0;438.0
2012;69053;Chénas;6.0;15.0
2012;69054;Chénelette;9.0;46.0
2012;69055;Les Chères;41.0;246.0
2012;69056;Chessy;33.0;118.0
2012;69057;Chevinay;2.0;2.0
2012;69058;Chiroubles;4.0;15.0
2012;69059;Civrieux-d'Azergues;82.0;1114.0
2012;69060;Claveisolles;10.0;51.0
2012;69061;Cogny;17.0;53.0
2012;69062;Coise;8.0;27.0
2012;69063;Collonges-au-Mont-d'Or;103.0;836.0
2012;69064;Condrieu;120.0;946.0
2012;69065;Corcelles-en-Beaujolais;23.0;93.0
2012;69066;Cours;161.0;2115.0
2012;69067;Courzieu;20.0;108.0
2012;69068;Couzon-au-Mont-d'Or;77.0;831.0
2012;69069;Craponne;327.0;2957.0
2012;69070;Cublize;32.0;123.0
2012;69071;Curis-au-Mont-d'Or;16.0;85.0
2012;69072;Dardilly;613.0;8013.0
2012;69074;Denicé;25.0;102.0
