annee;code_commune;nom_commune;nb_menages_fiscaux;nb_personnes_menages_fiscaux;revenu_median
2012;69001;Affoux;119.0;341.0;20896.7
2012;69002;Aigueperse;115.0;242.0;17186.7
2012;69003;Albigny-sur-Saône;946.0;2379.0;23941.0
2012;69004;Alix;245.0;652.5;22778.4
2012;69005;Ambérieux;188.0;549.0;22559.6
2012;69006;Amplepuis;2109.0;4905.5;17825.3
2012;69007;Ampuis;1066.0;2569.0;22609.8
2012;69008;Ancy;227.0;621.0;20192.0
2012;69009;Anse;2482.0;6422.0;21832.0
2012;69010;L'Arbresle;2494.0;6074.0;19832.7
2012;69012;Les Ardillats;229.0;597.5;20841.1
2012;69013;Arnas;1316.0;3497.5;21916.1
2012;69014;Aveize;382.0;985.0;19934.0
2012;69015;Avenas;49.0;127.0;19717.5
2012;69016;Azolette;52.0;127.5;17762.2
2012;69017;Bagnols;293.0;771.5;22609.2
2012;69018;Beaujeu;834.0;1821.5;18377.5
2012;69019;Belleville;3384.0;7835.0;17821.0
2012;69020;Belmont-d'Azergues;226.0;641.5;23186.5
2012;69021;Bessenay;858.0;2197.0;20931.5
2012;69022;Bibost;202.0;546.5;19956.7
2012;69023;Blacé;535.0;1437.5;22971.3
2012;69024;Le Bois-d'Oingt;921.0;2259.0;22441.0
2012;69026;Le Breuil;174.0;478.5;22679.3
2012;69027;Brignais;4478.0;11377.0;23047.1
2012;69028;Brindas;2136.0;5883.5;26196.0
2012;69029;Bron;15457.0;36867.0;19050.0
2012;69030;Brullioles;320.0;799.0;19804.3
2012;69031;Brussieu;471.0;1271.5;20591.7
2012;69032;Bully;743.0;1979.0;22236.6
2012;69033;Cailloux-sur-Fontaines;896.0;2549.5;29474.4
2012;69034;Caluire-et-Cuire;19280.0;42493.0;23570.4
2012;69035;Cenves;158.0;390.5;20158.6
2012;69036;Cercié;419.0;1148.5;20388.6
2012;69037;Chambost-Allières;348.0;827.0;18781.9
2012;69038;Chambost-Longessaigne;372.0;946.5;18677.2
2012;69039;Chamelet;271.0;637.0;20610.5
2012;69040;Champagne-au-Mont-d'Or;2435.0;5557.0;23739.1
2012;69042;La Chapelle-sur-Coise;201.0;590.0;21274.2
2012;69043;Chaponost;3088.0;8322.5;28056.0
2012;69044;Charbonnières-les-Bains;2039.0;5141.5;33434.4
2012;69045;Charentay;447.0;1187.5;21730.7
2012;69046;Charly;1646.0;4636.5;29089.5
2012;69047;Charnay;375.0;930.0;26157.1
2012;69048;Chassagny;425.0;1272.5;23932.6
2012;69049;Chasselay;982.0;2549.0;28351.2
2012;69050;Châtillon;881.0;2287.5;23607.0
2012;69051;Chaussan;353.0;986.0;21850.0
2012;69052;Chazay-d'Azergues;1596.0;4184.0;26587.5
2012;69053;Chénas;200.0;549.0;19876.7
2012;69054;Chénelette;149.0;321.0;21719.6
2012;69055;Les Chères;541.0;1472.0;24590.3
2012;69056;Chessy;677.0;1850.0;23228.7
2012;69057;Chevinay;215.0;560.5;24509.5
2012;69058;Chiroubles;160.0;372.0;16985.8
2012;69059;Civrieux-d'Azergues;558.0;1472.0;23642.0
2012;69060;Claveisolles;257.0;648.5;18007.0
2012;69061;Cogny;434.0;1104.5;23729.5
2012;69062;Coise;286.0;788.5;19066.7
2012;69063;Collonges-au-Mont-d'Or;1552.0;4122.5;31790.0
2012;69064;Condrieu;1596.0;3601.0;20099.4
2012;69065;Corcelles-en-Beaujolais;342.0;868.0;20998.9
2012;69066;Cours-la-Ville;1697.0;3731.5;18645.1
2012;69067;Courzieu;473.0;1139.5;19056.5
2012;69068;Couzon-au-Mont-d'Or;987.0;2388.5;24352.3
2012;69069;Craponne;4366.0;10431.0;23844.6
2012;69070;Cublize;504.0;1222.0;19492.7
2012;69071;Curis-au-Mont-d'Or;428.0;1172.0;28351.7
2012;69072;Dardilly;3085.0;8639.5;28638.1
2012;69073;Dareizé;173.0;495.0;23542.0
2012;69074;Denicé;542.0;1426.5;22921.3
2012;69075;Dième;63.0;201.5;20692.8
2012;69076;Dommartin;937.0;2709.5;30315.0
2012;69077;Dracé;346.0;973.0;21321.1
2012;69078;Duerne;301.0;801.0;20226.8
2012;69080;Échalas;579.0;1564.0;22373.2
2012;69081;Écully;6743.0;16344.5;26553.3
2012;69082;Émeringes;97.0;223.0;20748.0
2012;69083;Éveux;433.0;1174.0;24963.3
2012;69084;Fleurie;548.0;1259.0;18999.3
2012;69085;Fleurieu-sur-Saône;521.0;1412.0;27051.2
2012;69086;Fleurieux-sur-l'Arbresle;875.0;2386.0;25292.9
2012;69087;Fontaines-Saint-Martin;1001.0;2769.5;29338.6
2012;69088;Fontaines-sur-Saône;2883.0;6598.0;22132.0
2012;69089;Francheville;5234.0;13275.5;24918.7
2012;69090;Frontenas;299.0;823.0;24308.2
2012;69091;Givors;7625.0;18828.5;16339.0
2012;69092;Gleizé;3014.0;7513.0;19899.2
2012;69093;Grandris;483.0;1046.0;18290.6
2012;69094;Grézieu-la-Varenne;2139.0;5383.0;25048.5
2012;69095;Grézieu-le-Marché;296.0;775.5;19842.9
2012;69096;Grigny;3695.0;9192.5;18996.7
2012;69097;Les Haies;291.0;799.0;21297.4
2012;69098;Les Halles;166.0;460.5;19394.3
2012;69099;Haute-Rivoire;525.0;1332.5;18726.5
2012;69100;Irigny;3166.0;8336.0;22329.7
2012;69101;Jarnioux;247.0;652.5;23396.0
2012;69102;Joux;248.0;645.0;19107.3
2012;69103;Juliénas;364.0;876.0;21092.7
2012;69104;Jullié;176.0;404.5;18273.3
2012;69105;Lacenas;344.0;950.0;23975.0
2012;69106;Lachassagne;368.0;989.5;27801.7
2012;69107;Lamure-sur-Azergues;426.0;1004.5;19084.4
2012;69108;Lancié;361.0;927.0;20710.0
2012;69109;Lantignié;310.0;821.0;20801.1
2012;69110;Larajasse;694.0;1857.5;19542.4
2012;69111;Légny;235.0;648.5;23752.4
2012;69112;Lentilly;1942.0;5302.5;27186.4
2012;69113;Létra;308.0;827.5;20038.7
2012;69114;Liergues;704.0;1921.5;23000.0
2012;69115;Limas;1789.0;4597.5;21574.0
2012;69116;Limonest;1201.0;3158.5;29138.0
2012;69117;Lissieu;1124.0;3215.5;29192.0
2012;69118;Loire-sur-Rhône;967.0;2446.0;21441.3
2012;69119;Longes;329.0;910.0;20853.8
2012;69120;Longessaigne;235.0;612.5;17824.2
2012;69121;Lozanne;1018.0;2546.5;22121.1
2012;69122;Lucenay;657.0;1810.0;25602.6
