code_commune;nom_commune;taux_chomage_2012;population_2012;nb_menages_fiscaux_2012;nb_personnes_menages_fiscaux_2012;revenu_median_2012;nb_etablissements_2012;effectifs_salaries_2012;bloc_centre_2012;bloc_droite_2012;bloc_droite_radicale_2012;bloc_gauche_2012;bloc_gauche_radicale_2012;bloc_souverainiste_autres_2012;taux_chomage_2017;population_2017;nb_menages_fiscaux_2017;nb_personnes_menages_fiscaux_2017;revenu_median_2017;nb_etablissements_2017;effectifs_salaries_2017;bloc_centre_2017;bloc_droite_2017;bloc_droite_radicale_2017;bloc_gauche_2017;bloc_gauche_radicale_2017;bloc_souverainiste_autres_2017;taux_chomage_2022;population_2022;nb_menages_fiscaux_2022;nb_personnes_menages_fiscaux_2022;revenu_median_2022;nb_etablissements_2022;effectifs_salaries_2022;bloc_centre_2022;bloc_droite_2022;bloc_droite_radicale_2022;bloc_gauche_2022;bloc_gauche_radicale_2022;bloc_souverainiste_autres_2022;bloc_centre_delta_12_17;bloc_centre_delta_17_22;bloc_droite_delta_12_17;bloc_droite_delta_17_22;bloc_droite_radicale_delta_12_17;bloc_droite_radicale_delta_17_22;bloc_gauche_delta_12_17;bloc_gauche_delta_17_22;bloc_gauche_radicale_delta_12_17;bloc_gauche_radicale_delta_17_22;bloc_souverainiste_autres_delta_12_17;bloc_souverainiste_autres_delta_17_22;taux_chomage_delta_12_17;taux_chomage_delta_17_22;population_delta_12_17;population_delta_17_22;nb_menages_fiscaux_delta_12_17;nb_menages_fiscaux_delta_17_22;nb_personnes_menages_fiscaux_delta_12_17;nb_personnes_menages_fiscaux_delta_17_22;revenu_median_delta_12_17;revenu_median_delta_17_22;nb_etablissements_delta_12_17;nb_etablissements_delta_17_22;effectifs_salaries_delta_12_17;effectifs_salaries_delta_17_22;salaries_par_etablissement_2012;personnes_par_menage_fiscal_2012;salaries_par_etablissement_2017;personnes_par_menage_fiscal_2017;salaries_par_etablissement_2022;personnes_par_menage_fiscal_2022;bloc_gagnant_2012;bloc_gagnant_2017;bloc_gagnant_2022
69001;Affoux;4.94505494505495;344.0;119.0;341.0;20896.7;4.0;6.0;13.302752293577983;31.19266055045872;27.981651376146782;18.34862385321101;2.752293577981652;6.422018348623854;6.28019323660256;369.0;136.0;383.0;22610.0;3.0;4.0;22.90748898678414;20.26431718061674;33.03964757709251;13.656387665198238;2.202643171806168;7.929515418502203;2.70652977163724;397.0;138.0;349.0;25160.0;6.0;7.0;30.0;6.800000000000001;44.0;14.8;0.0;4.4;9.604736693206158;7.092511013215859;-10.92834336984198;-13.464317180616739;5.057996200945727;10.96035242290749;-4.692236188012771;1.1436123348017624;-0.5496504061754841;-2.202643171806168;1.5074970698783492;-3.5295154185022026;1.3351382915476107;-3.5736634649653203;25.0;28.0;17.0;2.0;42.0;-34.0;1713.2999999999993;2550.0;-1.0;3.0;-2.0;3.0;1.5;2.865546218487395;1.3333333333333333;2.8161764705882355;1.1666666666666667;2.528985507246377;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69002;Aigueperse;5.55555555555555;249.0;115.0;242.0;17186.7;3.0;5.0;15.909090909090908;33.52272727272727;34.659090909090914;13.068181818181818;1.7045454545454544;1.1363636363636365;4.68750000007059;248.0;115.0;242.0;19550.0;2.0;4.0;20.588235294117645;28.235294117647054;29.411764705882355;11.76470588235294;1.7647058823529411;8.235294117647058;2.95707309770117;239.0;112.0;227.0;20600.0;3.0;6.0;36.60130718954248;9.803921568627452;37.25490196078432;9.803921568627452;1.96078431372549;4.57516339869281;4.679144385026737;16.013071895424837;-5.287433155080219;-18.431372549019603;-5.247326203208559;7.8431372549019684;-1.303475935828878;-1.9607843137254886;0.06016042780748676;0.19607843137254877;7.098930481283421;-3.660130718954248;-0.8680555554849603;-1.7304269023694197;-1.0;-9.0;0.0;-3.0;0.0;-15.0;2363.2999999999993;1050.0;-1.0;1.0;-1.0;2.0;1.6666666666666667;2.1043478260869564;2.0;2.1043478260869564;2.0;2.0267857142857144;bloc_droite_radicale;bloc_droite_radicale;bloc_droite_radicale
69003;Albigny-sur-Saône;10.7123026535761;2804.0;946.0;2379.0;23941.0;46.0;236.0;10.567210567210568;35.81973581973582;16.783216783216783;33.022533022533025;1.6317016317016315;2.1756021756021755;9.00266677861996;2880.0;972.0;2326.0;23390.0;42.0;225.0;26.36363636363636;25.984848484848484;18.10606060606061;21.666666666666668;1.4393939393939394;6.4393939393939394;9.85498281714866;3013.0;1086.0;2569.0;27830.0;50.0;244.0;35.38135593220339;6.214689265536723;28.17796610169492;27.8954802259887;0.7768361581920904;1.5536723163841808;15.796425796425792;9.017719568567031;-9.834887334887334;-19.77015921931176;1.3228438228438257;10.071905495634311;-11.355866355866358;6.228813559322031;-0.19230769230769207;-0.662557781201849;4.2637917637917635;-4.885721623009759;-1.70963587495614;0.8523160385287003;76.0;133.0;26.0;114.0;-53.0;243.0;-551.0;4440.0;-4.0;8.0;-11.0;19.0;5.130434782608695;2.514799154334038;5.357142857142857;2.3930041152263373;4.88;2.365561694290976;bloc_droite;bloc_centre;bloc_centre
69004;Alix;6.97674418604651;746.0;245.0;652.5;22778.4;10.0;35.0;9.749303621169917;31.75487465181058;22.284122562674096;30.919220055710305;2.2284122562674096;3.064066852367688;4.16616275158768;763.0;253.0;693.0;25360.0;8.0;20.0;27.500000000000004;16.666666666666664;24.444444444444443;20.0;0.8333333333333334;10.555555555555555;6.8392399272327;772.0;260.0;699.0;27470.0;9.0;11.0;30.848329048843187;6.426735218508997;35.47557840616967;24.42159383033419;0.2570694087403599;2.570694087403599;17.750696378830085;3.3483290488431834;-15.088207985143917;-10.239931448157666;2.160321881770347;11.031133961725224;-10.919220055710305;4.421593830334189;-1.395078922934076;-0.5762639245929735;7.491488703187867;-7.984861468151957;-2.81058143445883;2.6730771756450196;17.0;9.0;8.0;7.0;40.5;6.0;2581.5999999999985;2110.0;-2.0;1.0;-15.0;-9.0;3.5;2.663265306122449;2.5;2.739130434782609;1.2222222222222223;2.6884615384615387;bloc_droite;bloc_centre;bloc_droite_radicale
69005;Ambérieux;9.89399293286219;542.0;188.0;549.0;22559.6;37.0;699.0;6.865671641791045;35.223880597014926;31.94029850746269;21.492537313432837;0.8955223880597015;3.582089552238806;5.97484276740936;578.0;209.0;580.0;25820.0;29.0;671.0;19.883040935672515;23.09941520467836;36.84210526315789;12.280701754385964;1.461988304093567;6.432748538011696;4.4251324379738;629.0;214.0;578.0;25920.0;41.0;763.0;28.07017543859649;7.017543859649122;46.78362573099415;15.497076023391813;0.2923976608187134;2.3391812865497075;13.017369293881469;8.187134502923975;-12.124465392336568;-16.081871345029235;4.901806755695201;9.941520467836263;-9.211835559046873;3.2163742690058488;0.5664659160338655;-1.1695906432748537;2.8506589857728897;-4.093567251461988;-3.9191501654528302;-1.5497103294355599;36.0;51.0;21.0;5.0;31.0;-2.0;3260.4000000000015;100.0;-8.0;12.0;-28.0;92.0;18.89189189189189;2.9202127659574466;23.137931034482758;2.77511961722488;18.609756097560975;2.7009345794392523;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69006;Amplepuis;13.1956985826167;5032.0;2109.0;4905.5;17825.3;141.0;1327.0;11.3612746795982;29.754069968825767;24.073432629026676;30.27364045722203;2.009005888465535;2.5285763768617944;13.4603874397428;4976.0;2095.0;4621.0;19180.0;134.0;1330.0;20.84690553745929;20.629750271444085;27.759681505609844;21.10025334781035;2.099167571480275;7.564241766196164;11.6216285037605;4858.0;2194.0;4662.0;20160.0;152.0;1400.0;29.47489459563051;4.791107704101188;36.48907627443465;25.067075507857417;1.2648524338827136;2.9129934840935223;9.48563085786109;8.62798905817122;-9.124319697381683;-15.838642567342896;3.686248876583168;8.729394768824807;-9.173387109411678;3.966822160047066;0.09016168301474003;-0.8343151375975615;5.03566538933437;-4.651248282102642;0.26468885712609946;-1.8387589359823;-56.0;-118.0;-14.0;99.0;-284.5;41.0;1354.7000000000007;980.0;-7.0;18.0;3.0;70.0;9.411347517730496;2.3259838786154576;9.925373134328359;2.205727923627685;9.210526315789474;2.1248860528714677;bloc_gauche;bloc_droite_radicale;bloc_droite_radicale
69007;Ampuis;6.51851851851852;2696.0;1066.0;2569.0;22609.8;68.0;472.0;10.346964064436182;31.474597273853774;23.79182156133829;30.297397769516728;1.3630731102850062;2.7261462205700124;6.20792819751083;2713.0;1131.0;2656.0;24550.0;63.0;478.0;25.0;21.332518337408317;28.23960880195599;14.731051344743276;2.017114914425428;8.679706601466993;5.04885527194098;2760.0;1186.0;2693.0;27040.0;89.0;545.0;31.600708800945064;6.0248080330773774;38.865918487891314;19.078558771411693;1.6538688718251624;2.77613703484938;14.653035935563818;6.600708800945064;-10.142078936445458;-15.30771030433094;4.4477872406177;10.626309685935325;-15.566346424773451;4.347507426668416;0.6540418041404219;-0.3632460426002657;5.953560380896981;-5.9035695666176125;-0.31059032100769013;-1.1590729255698502;17.0;47.0;65.0;55.0;87.0;37.0;1940.2000000000007;2490.0;-5.0;26.0;6.0;67.0;6.9411764705882355;2.4099437148217637;7.587301587301587;2.348364279398762;6.123595505617978;2.2706576728499157;bloc_droite;bloc_droite_radicale;bloc_droite_radicale
69008;Ancy;7.18954248366013;606.0;227.0;621.0;20192.0;8.0;10.0;11.704834605597965;35.6234096692112;19.083969465648856;31.043256997455472;0.5089058524173028;2.035623409669211;4.64396284829721;640.0;250.0;688.0;22710.0;5.0;7.0;18.09045226130653;28.643216080402013;23.869346733668344;19.34673366834171;0.5025125628140703;9.547738693467336;4.1264718028004;674.0;256.0;670.0;24680.0;4.0;5.0;30.69544364508393;6.235011990407674;32.853717026378895;23.501199040767386;1.4388489208633095;5.275779376498801;6.385617655708566;12.6049913837774;-6.980193588809186;-22.40820408999434;4.785377268019488;8.984370292710551;-11.696523329113763;4.154465372425676;-0.006393289603232488;0.9363363580492392;7.512115283798124;-4.271959316968535;-2.5455796353629196;-0.5174910454968105;34.0;34.0;23.0;6.0;67.0;-18.0;2518.0;1970.0;-3.0;-1.0;-3.0;-2.0;1.25;2.73568281938326;1.4;2.752;1.25;2.6171875;bloc_droite;bloc_droite;bloc_droite_radicale
69009;Anse;8.16726559947729;6588.0;2482.0;6422.0;21832.0;176.0;1362.0;10.88757396449704;31.568047337278102;16.923076923076923;37.15976331360947;1.242603550295858;2.218934911242604;9.39115450890293;7178.0;2746.0;7133.0;23110.0;188.0;1338.0;27.350427350427356;21.36752136752137;20.84367245657568;22.4703611800386;1.2958367797077477;6.672180865729254;8.18944252590035;8139.0;3110.0;7622.0;24790.0;223.0;1468.0;34.75922131147541;4.943647540983607;28.27868852459016;28.919057377049175;1.2295081967213115;1.869877049180328;16.462853385930316;7.408793961048051;-10.200525969756733;-16.423873826537765;3.920595533498755;7.43501606801448;-14.689402133570866;6.448696197010573;0.05323322941188979;-0.06632858298643618;4.45324595448665;-4.802303816548926;1.223888909425641;-1.2017119830025802;590.0;961.0;264.0;364.0;711.0;489.0;1278.0;1680.0;12.0;35.0;-24.0;130.0;7.738636363636363;2.5874294923448833;7.117021276595745;2.5975965040058266;6.582959641255606;2.4508038585209;bloc_gauche;bloc_centre;bloc_centre
69010;L'Arbresle;11.2363387978142;6271.0;2494.0;6074.0;19832.7;256.0;1929.0;12.664315485732608;24.94389227316448;15.293363257454311;43.02661109329913;1.2504007694773966;2.8214171208720744;12.6444159178434;6398.0;2618.0;6133.0;21320.0;249.0;1963.0;26.93409742120344;15.504616364215218;17.95606494746896;30.18147086914995;1.5600127347978352;7.863737663164595;9.13642052565707;6469.0;2812.0;6282.0;23060.0;253.0;2281.0;29.121920404295643;4.3272267845862284;26.05811749842072;37.5868603916614;0.915982312065698;1.9898926089703095;14.269781935470832;2.187822983092204;-9.439275908949261;-11.17738957962899;2.6627016900146483;8.102052550951761;-12.84514022414918;7.405389522511452;0.30961196532043855;-0.6440304227321372;5.04232054229252;-5.873845054194286;1.4080771200291995;-3.5079953921863307;127.0;71.0;124.0;194.0;59.0;149.0;1487.2999999999993;1740.0;-7.0;4.0;34.0;318.0;7.53515625;2.4354450681635926;7.883534136546185;2.3426279602750193;9.015810276679842;2.233997155049787;bloc_gauche;bloc_gauche;bloc_gauche
