CODGEO;LIBGEO;NBMEN21;NBPERS21;NBUC21;PMIMP21;Q121;Q221;Q321;Q3_Q1;D121;D221;D321;D421;D621;D721;D821;D921;RD;S80S2021;GI21;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PAUT21
01001;L'Abergement-Clémenciat;346;895;590,8;s;s;26410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01002;L'Abergement-de-Varey;115;266;181,0;s;s;24950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01004;Ambérieu-en-Bugey;6861;15103;10406,5;50,0;13180;20940;29260;16080;7070;11530;15080;18120;23890;27290;31860;39380;5,6;8,1;0,368;67,9;61,5;3,2;3,2;24,4;7,7
01005;Ambérieux-en-Dombes;801;2030;1331,2;61,0;18900;24800;32660;13760;13450;17650;20350;22080;27070;30980;34570;43610;3,2;4,4;0,298;73,2;67,2;2,2;3,8;19,7;7,1
01006;Ambléon;51;107;76,6;s;s;24080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01007;Ambronay;1184;2874;1915,7;60,0;18460;24950;32840;14390;12040;16800;19990;22340;27840;30990;35760;42260;3,5;4,1;0,260;70,9;66,6;2,4;1,9;24,7;4,4
01008;Ambutrix;326;753;516,3;s;s;26720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01009;Andert-et-Condon;158;381;257,8;s;s;24300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01010;Anglefort;481;1122;760,1;s;s;24900;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01011;Apremont;161;405;265,9;s;s;24810;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01012;Aranc;144;324;223,1;s;s;23280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01013;Arandas;67;127;94,2;s;s;22220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01014;Arbent;1361;3438;2290,1;51,0;15640;21910;29500;13860;9590;14160;17170;19730;24420;27290;32550;41400;4,3;6,0;0,341;64,6;59,5;3,2;1,9;27,5;7,9
01015;Arboys en Bugey;313;734;498,7;s;s;23710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01016;Arbigny;187;473;312,0;s;s;22930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01017;Argis;194;419;293,5;s;s;19920;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01019;Armix;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01021;Ars-sur-Formans;565;1423;941,2;s;s;26250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01022;Artemare;576;1163;840,3;s;s;21800;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01023;Asnières-sur-Saône;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01024;Attignat;1406;3395;2276,3;60,0;18630;24270;30720;12090;13230;17090;19870;22010;26550;29220;33130;40700;3,1;3,9;0,261;71,5;65,3;2,5;3,7;24,3;4,2
01025;Bâgé-Dommartin;1628;4204;2762,6;58,0;19200;24610;31540;12340;14380;17610;20120;22360;27240;29700;33620;40870;2,8;4,0;0,278;72,1;65,1;2,2;4,8;21,5;6,4
01026;Bâgé-le-Châtel;434;942;657,2;s;s;22460;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01027;Balan;712;1899;1219,5;s;s;25680;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01028;Baneins;228;599;388,6;s;s;24780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01029;Beaupont;274;652;438,2;s;s;20430;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01030;Beauregard;365;829;569,0;s;s;24060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01031;Bellignat;1479;3238;2254,5;44,0;12270;19970;27930;15660;7090;10520;13920;17370;22670;25820;30000;37840;5,3;7,7;0,361;62,6;57,0;3,9;1,7;32,0;5,4
01032;Béligneux;1184;3117;2004,6;56,0;16080;22400;30710;14630;11010;14500;17240;19890;25250;28400;33330;41760;3,8;5,0;0,311;72,0;66,3;3,3;2,4;22,4;5,6
01033;Valserhône;6563;14889;10178,8;46,0;14450;23750;35880;21430;7610;12370;16640;20310;27650;32830;39880;51770;6,8;8,7;0,375;74,8;68,8;4,0;2,0;21,9;3,3
01034;Belley;4075;8594;6061,7;48,0;13220;20300;28230;15010;7200;11280;14930;17760;23000;26200;30790;38870;5,4;7,2;0,344;61,3;54,3;3,1;3,9;33,9;4,8
01035;Belleydoux;145;321;225,1;s;s;25910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01036;Valromey-sur-Séran;593;1304;912,6;s;s;23690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01037;Bénonces;126;285;195,3;s;s;21770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01038;Bény;321;776;524,0;s;s;24240;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01039;Béon;214;492;336,0;s;s;22180;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01040;Béréziat;195;516;336,4;s;s;23110;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01041;Bettant;335;744;517,2;s;s;25280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01042;Bey;126;305;206,0;s;s;25550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01043;Beynost;1964;5043;3317,3;70,0;22100;29260;40850;18740;14980;20100;23500;26150;32990;37780;44740;56220;3,8;4,7;0,300;72,0;65,7;1,9;4,4;22,3;5,7
