CODGEO;LIBGEO;NBMENFISC12;NBPERSMENFISC12;MED12;PIMP12;TP6012;TP60AGE112;TP60AGE212;TP60AGE312;TP60AGE412;TP60AGE512;TP60AGE612;TP60TOL112;TP60TOL212;PR12;PRA12;PTSAC12;PBEN12;PPEN12;PPAT12;PPSOC12;PPFAM12;PPMINI12;PPLOGT12;PIMPOT12;RD12;D112;D912
01001;L'Abergement-Clémenciat;299;780.5;22253.0;;;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;97;227.0;21765.7;;;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;5897;13420.0;19236.7;64;15;18;16;19;12;10;8;6;23;100.0;72.5;69.0;3.5;26.0;10.8;6.1;2.8;1.5;1.8;-15.4;3.1;10622.5;33457.7
01005;Ambérieux-en-Dombes;615;1673.5;21743.9;;;;;;;;;;;;;;;;;;;;;;;;
01006;Ambléon;48;111.0;20354.4;;;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1011;2569.0;21332.9;69;7;;6;5;11;5;8;5;16;100.0;76.1;72.4;3.7;25.0;9.2;4.0;2.7;0.6;0.7;-14.3;2.6;13263.8;34266.0
01008;Ambutrix;302;755.0;22784.0;;;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;142;349.0;20916.3;;;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;413;1012.0;20284.0;;;;;;;;;;;;;;;;;;;;;;;;
01011;Apremont;146;397.5;21943.5;;;;;;;;;;;;;;;;;;;;;;;;
01012;Aranc;141;309.0;20552.7;;;;;;;;;;;;;;;;;;;;;;;;
01013;Arandas;68;161.0;18315.4;;;;;;;;;;;;;;;;;;;;;;;;
01014;Arbent;1295;3529.0;18930.0;66;12;;10;13;17;8;13;7;22;100.0;72.8;71.1;1.7;25.1;13.5;5.2;2.9;1.0;1.3;-16.6;3.0;11201.6;33293.9
01015;Arbignieu;208;498.0;21105.6;;;;;;;;;;;;;;;;;;;;;;;;
01016;Arbigny;168;446.0;19225.7;;;;;;;;;;;;;;;;;;;;;;;;
01017;Argis;196;451.5;18028.1;;;;;;;;;;;;;;;;;;;;;;;;
01019;Armix;;;;;;;;;;;;;;;;;;;;;;;;;;;
01021;Ars-sur-Formans;479;1282.5;22717.3;;;;;;;;;;;;;;;;;;;;;;;;
